"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","placeOrderAsUser","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","placeOrderAsUser"
"","11","TC_API_COUPON_002_AddCouponWithPercentageDiscount","All Test Suite","2026-07-16","broken","2026-07-16","scripts.CouponsTest","CouponsTest","scripts.CouponsTest","TC_API_COUPON_002_AddCouponWithPercentageDiscount"
"","6","placeOrderAsUser","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","placeOrderAsUser"
"","6","refundTestRejected","All Test Suite","2026-07-16","broken","2026-07-16","scripts.RefundTest","RefundTest","scripts.RefundTest","refundTestRejected"
"","7","refundTestApproved","All Test Suite","2026-07-16","broken","2026-07-16","scripts.RefundTest","RefundTest","scripts.RefundTest","refundTestApproved"
"","7","displayAllOrdersTest","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","displayAllOrdersTest"
"","1611","TC_API_COUPON_001_AddCouponAsOwner","All Test Suite","2026-07-16","broken","2026-07-16","scripts.CouponsTest","CouponsTest","scripts.CouponsTest","TC_API_COUPON_001_AddCouponAsOwner"
"","5","TC_API_ORD_05","All Test Suite","2026-07-16","broken","2026-07-16","scripts.RestaurantTest","RestaurantTest","scripts.RestaurantTest","TC_API_ORD_05"
"","6","retrieveAndIterateOrdersTest","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","retrieveAndIterateOrdersTest"
"","5","TC_API_E2E_MP_01","All Test Suite","2026-07-16","broken","2026-07-16","scripts.MultiProfileTest","MultiProfileTest","scripts.MultiProfileTest","TC_API_E2E_MP_01"
"","2152","m1","All Test Suite","2026-07-16","passed","2026-07-16","scripts.JSONPathTest","JSONPathTest","scripts.JSONPathTest","m1"
"","7","placeOrderAsUser","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","placeOrderAsUser"
"","7","verifySortingOfTable","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","verifySortingOfTable"
